event_id,user_id,product_id,event_type,event_time,price,category,user_device,user_location
f83bba24-0e0c-4044-9a21-46383c9331d8,443,PROD8357,view,2025-03-06 03:16:02,,Home,Desktop,IS
d26aa6be-6198-4f42-877a-438633439052,788,PROD1152,purchase,2025-03-17 19:13:19,41.76,Clothing,Desktop,IN
2dd65c83-117e-4655-92d0-6312bd9b41a3,491,PROD3822,view,2025-03-03 10:55:08,,Clothing,Desktop,AT
1d402f96-6f0a-411e-b0b1-42cce4e48c3b,385,PROD8875,purchase,2025-03-17 09:28:17,480.33,Home,Tablet,FM
3e10da13-406a-41f8-aba2-58226c862c29,814,PROD8647,purchase,2025-04-09 04:29:41,392.04,Electronics,Desktop,NR
d7fc5c4f-685c-480e-8b7a-5099c70d0cc2,463,PROD9022,view,2025-04-12 14:54:19,,Home,Tablet,LK
8962a9b9-d09b-4f1d-8d85-1e7db98ef880,330,PROD7980,purchase,2025-04-06 20:47:39,43.23,Home,Desktop,CM
4e1a9927-68a0-476a-9148-1f41deb74278,936,PROD7254,view,2025-03-14 06:36:01,,Clothing,Mobile,FR
aaee9caf-f9f4-4d5e-a046-f77b24358b4e,598,PROD1814,purchase,2025-03-07 23:09:25,266.58,Books,Tablet,OM
e6297521-c705-41c3-a855-b9a927c2b169,417,PROD5516,purchase,2025-04-20 07:58:47,464.16,Home,Tablet,MD
2a6199fa-c7e9-48e4-b1a4-4ff4c54280ac,268,PROD7916,purchase,2025-03-05 23:56:31,440.53,Electronics,Desktop,SV
76b7b4a4-f524-45ad-a94f-d16ab20a287e,294,PROD1011,view,2025-03-14 08:51:49,,Books,Desktop,CD
da66201e-6e4e-42d1-9207-8261522e5567,598,PROD2185,view,2025-02-11 11:49:33,,Home,Tablet,AU
af1525cd-f3f6-4171-831b-d7ae6fc3b528,925,PROD3005,purchase,2025-02-25 20:02:54,204.67,Home,Desktop,DZ
54403443-4431-4786-a870-ca703e2ab7e3,502,PROD4574,purchase,2025-02-11 08:41:39,481.0,Clothing,Mobile,PG
9d27c2aa-71c3-4939-b028-fbd3bf5bd387,921,PROD3223,view,2025-04-12 18:25:16,,Home,Tablet,BJ
b565a3f2-1ee9-4476-9298-dd44851fd4e9,624,PROD2187,purchase,2025-04-18 21:55:09,110.84,Clothing,Desktop,NZ
9c6fba74-a912-4910-8855-7c208c6ad2d8,805,PROD6785,purchase,2025-02-28 14:59:05,315.79,Clothing,Mobile,LT
290a5eb8-4b4d-4e11-9ba3-bc4c963ac3d0,995,PROD9951,purchase,2025-03-02 01:25:15,343.63,Toys,Desktop,TM
1926aec6-4cac-48e5-8aee-77cd50b70d7b,909,PROD1246,view,2025-04-30 15:25:11,,Electronics,Tablet,ML
ea5e39c5-102c-4cef-9d7e-e56a117691ab,881,PROD7161,view,2025-04-02 20:09:56,,Home,Mobile,RS
d2eb7a4c-689f-4608-9bdb-51515cb43be3,405,PROD4115,view,2025-04-18 03:45:47,,Clothing,Tablet,MW
eed2cddc-0663-40d1-9039-876b1bc8acc0,786,PROD7727,purchase,2025-02-28 13:32:39,333.78,Books,Tablet,ID
fe79789a-47b2-4c7a-86ca-ff515975f754,373,PROD2476,purchase,2025-04-01 17:19:50,10.99,Electronics,Tablet,ZW
